2026-09-12T21:28:12.913+08:00  INFO 2599975 --- [           main] u.j.c.BootstrapSpringApplicationListener : Found Environment: org.springframework.boot.web.context.servlet.ApplicationServletEnvironment
2026-09-12T21:28:14.386+08:00  INFO 2599975 --- [           main] cn.jia.JiaApplication                    : Starting JiaApplication v1.1.2-SNAPSHOT using Java 21.0.10 with PID 2599975 (/home/chc/wsps/cyf-worktrees/output-api/starter/build/libs/starter-1.1.2-SNAPSHOT.jar started by chc in /home/chc/wsps/cyf-worktrees/output-api)
2026-09-12T21:28:14.397+08:00  INFO 2599975 --- [           main] cn.jia.JiaApplication                    : No active profile set, falling back to 1 default profile: "default"
2026-09-12T21:28:59.186+08:00  INFO 2599975 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2026-09-12T21:28:59.217+08:00  INFO 2599975 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2026-09-12T21:29:00.257+08:00  INFO 2599975 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 967 ms. Found 0 JDBC repository interfaces.
2026-09-12T21:29:00.335+08:00  INFO 2599975 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2026-09-12T21:29:00.350+08:00  INFO 2599975 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data LDAP repositories in DEFAULT mode.
2026-09-12T21:29:00.509+08:00  INFO 2599975 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 129 ms. Found 0 LDAP repository interfaces.
2026-09-12T21:29:00.643+08:00  INFO 2599975 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2026-09-12T21:29:00.653+08:00  INFO 2599975 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-09-12T21:29:00.910+08:00  INFO 2599975 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 148 ms. Found 0 Redis repository interfaces.
